207.0760,211.1370,201.3920,203.8280,1875900
203.0160,203.8280,203.0160,203.4220,379800
207.0760,207.0760,203.0160,205.4520,106300
207.0760,209.5130,203.0160,205.0460,352300
205.4520,208.7000,204.9240,207.4820,1064000
204.6400,208.7000,203.0160,206.2640,116400
208.7000,208.7000,203.0160,205.8580,42100
208.7000,221.2470,208.7000,216.8210,0
220.0690,220.0690,216.8210,216.8210,244300
215.1970,220.0690,214.5880,220.0690,1598500
217.2270,227.3780,213.6220,225.3480,0
224.9420,234.6870,224.9420,231.4380,319700
235.4990,235.4990,227.5810,231.4380,435600
229.8140,230.4230,222.1000,222.1000,743700
219.2570,219.2570,214.3850,214.3850,24400
217.6330,219.2570,214.3850,214.3850,27300
212.7610,212.7610,208.0510,212.3550,77300
212.3550,212.3550,212.3550,212.3550,0
212.3550,212.3550,212.3550,212.3550,0
211.1370,214.1010,208.7000,211.5430,27500
213.5320,213.9790,211.5430,211.5430,31900
211.5430,212.7610,211.5430,211.5430,0
211.5430,211.5430,211.5430,211.5430,0
216.0090,231.0320,215.1970,224.5360,553800
227.3780,239.5590,226.3630,231.8440,793300
235.0930,237.8860,229.8140,230.4230,1088600
229.0020,232.1610,217.2270,220.0690,276400
223.3180,231.4380,220.0690,229.8140,120900
230.6260,231.4380,224.1300,224.5360,233600
223.3180,228.1900,220.8810,220.8810,1601300
219.2570,222.5060,215.1970,219.2570,177800
222.5060,238.7470,222.2130,229.8140,654900
235.4990,237.9350,227.7840,227.7840,888900
230.6260,233.0620,226.1600,229.8140,47100
229.8140,230.6260,227.3780,230.6260,66400
231.4380,232.2500,229.0020,229.8140,0
227.3780,234.6870,223.3180,226.5660,201100
223.3180,229.0020,219.2570,222.5060,95100
219.2570,223.3180,215.2780,218.4450,92400
221.6930,221.6930,217.2270,220.8810,59600
221.6930,221.6930,214.0600,216.0090,50500
213.5730,217.2680,210.0000,213.1670,69800
215.1970,216.2120,215.1970,215.1970,6000
216.8210,217.2680,216.0090,216.0090,16900
214.3850,217.6330,211.3400,217.6330,43200
213.3700,217.6330,212.4770,216.4150,6100
215.1970,218.4450,215.1970,218.4450,1009700
219.2570,227.3780,219.2570,223.7240,58100
227.3780,227.3780,221.5720,225.3480,40700
223.3180,229.0020,223.3180,227.3780,162400
222.5060,226.5660,222.5060,224.5360,58200
222.5060,228.1900,222.5060,225.3480,36600
225.7540,228.3440,222.5060,225.1450,54500
223.3180,223.3180,221.2870,221.2870,118000
227.3780,227.3780,219.4600,224.9420,105400
224.9420,227.3700,223.3180,225.3480,259500
222.1000,227.3780,222.1000,224.5360,31900
227.3780,227.3780,224.3330,225.3480,26500
227.3780,227.3780,222.5060,224.5360,8600
227.3780,229.0020,223.1150,228.3930,33400
228.3930,228.9450,228.3930,228.5960,18000
229.0020,235.4990,229.0020,231.8440,33000
235.4990,243.4160,232.1690,241.5890,101500
240.7770,243.4160,239.1530,239.1530,2600
235.4990,238.9500,233.8740,238.9500,103800
231.4380,238.2800,231.4380,231.4380,360300
231.4380,233.0620,230.6260,231.4380,19200
227.3780,227.8650,220.8810,223.3180,42500
